user_id,region,district,is_capital_area,property_type,exclusive_area_sqm,deposit_amount,market_price_estimate,senior_bond_amount,loan_amount_requested,deposit_to_market_ratio_pct,senior_plus_deposit_to_market_pct,settlement_date,repayment_method,interest_rate_type,financial_sector,dsr_estimated_pct,info_completeness
U0112,울산,남구,N,다세대,47.8,9735,13378,874,6393,72.8,79.3,2026-09-12,원리금균등,혼합,은행,8.8,Y
U0113,서울,구로구,Y,오피스텔,15.6,21708,32330,6467,17310,67.1,87.1,2026-10-29,원리금균등,혼합,은행,8.5,Y
U0114,충남,아산시,N,오피스텔,37.9,20385,21618,5300,15047,94.3,118.8,2026-08-04,원금균등,고정,은행,44.2,Y
U0115,부산,수영구,N,오피스텔,29.2,7133,12011,3871,5596,59.4,91.6,2026-09-22,원금균등,고정,은행,2.3,Y
U0116,서울,성북구,Y,단독,57.7,8928,11735,2082,5985,76.1,93.8,2026-11-29,원리금균등,고정,2금융권,7.5,Y
U0117,세종,나성동,N,아파트,133.2,17105,27976,2791,12110,61.1,71.1,2026-11-30,원리금균등,혼합,은행,15.0,Y
U0118,전남,여수시,N,아파트,75.2,9300,11757,1920,6990,79.1,95.4,2026-10-16,만기일시,고정,은행,3.7,Y
U0119,서울,강서구,Y,단독,64.2,24476,39863,10063,18316,61.4,86.6,2026-09-11,원금균등,고정,은행,24.8,Y
U0120,서울,종로구,Y,다세대,61.0,32291,59896,18859,24159,53.9,85.4,2026-09-02,만기일시,혼합,은행,14.4,Y
U0121,광주,북구,N,오피스텔,29.8,21750,39344,13587,14605,55.3,89.8,2026-08-22,원리금균등,변동,은행,9.2,Y
U0122,서울,관악구,Y,아파트,34.6,37133,65289,4355,27906,56.9,63.5,2026-09-08,원리금균등,변동,은행,16.6,Y
U0123,경기,고양시,Y,오피스텔,56.2,16505,20535,5226,11053,80.4,105.8,2026-12-04,만기일시,고정,은행,16.1,Y
U0124,경기,용인시,Y,다세대,66.5,13335,21502,4986,9208,62.0,85.2,2026-08-11,원금균등,혼합,은행,13.0,Y
U0125,세종,조치원읍,N,아파트,108.2,20184,35523,8318,13571,56.8,80.2,2026-11-14,원리금균등,혼합,은행,22.7,Y
U0126,부산,해운대구,N,오피스텔,44.5,5825,7886,1208,4330,73.9,89.2,2026-07-30,원금균등,혼합,은행,8.0,Y
U0127,경기,파주시,Y,아파트,36.2,65388,115263,39271,43784,56.7,90.8,2026-08-04,원금균등,변동,은행,37.7,Y
U0128,전북,전주시,N,아파트,137.6,12359,17907,3108,8340,69.0,86.4,2026-09-27,원리금균등,고정,은행,16.1,Y
U0129,서울,강서구,Y,아파트,100.7,60287,78910,14040,41057,76.4,94.2,2026-10-02,원금균등,혼합,2금융권,57.4,Y
U0130,부산,부산진구,N,연립,81.3,16979,23734,2112,11535,71.5,80.4,2026-10-15,원리금균등,변동,2금융권,16.5,Y
U0131,서울,구로구,Y,오피스텔,45.8,9383,16354,593,7024,57.4,61.0,2026-09-27,만기일시,혼합,은행,15.9,Y
U0132,제주,서귀포시,N,다세대,90.0,14835,18110,3956,10289,81.9,103.8,2026-12-26,원리금균등,혼합,은행,14.1,N
U0133,서울,영등포구,Y,아파트,62.9,73272,138191,33053,49236,53.0,76.9,2026-09-20,원리금균등,혼합,은행,15.4,Y
U0134,인천,서구,Y,아파트,94.8,13011,16441,3571,9981,79.1,100.9,2026-09-02,만기일시,혼합,은행,27.2,Y
U0135,인천,남동구,Y,아파트,69.1,15967,29420,6339,11964,54.3,75.8,2026-11-30,만기일시,고정,2금융권,8.0,Y
U0136,인천,서구,Y,아파트,107.9,46762,85052,18269,34752,55.0,76.5,2026-09-27,원금균등,혼합,2금융권,43.8,Y
U0137,경기,파주시,Y,아파트,109.8,77182,94528,27419,60341,81.6,110.7,2026-10-26,만기일시,혼합,은행,24.2,Y
U0138,강원,원주시,N,아파트,108.4,12929,20624,4463,9870,62.7,84.3,2026-07-25,원금균등,혼합,은행,25.7,Y
U0139,경기,파주시,Y,오피스텔,43.8,33679,35682,10925,22606,94.4,125.0,2026-11-30,만기일시,고정,은행,31.0,Y
U0140,충남,아산시,N,다세대,23.6,15598,19702,1361,11497,79.2,86.1,2026-10-06,원리금균등,변동,은행,9.4,Y
U0141,경기,화성시,Y,아파트,73.3,65007,86578,14544,46597,75.1,91.9,2026-11-08,만기일시,고정,은행,93.5,Y
U0142,서울,구로구,Y,아파트,62.2,81731,123310,28222,54947,66.3,89.2,2026-12-04,만기일시,혼합,은행,70.7,Y
U0143,경북,구미시,N,오피스텔,15.9,17349,21634,2002,11886,80.2,89.4,2026-11-16,원금균등,고정,2금융권,27.0,Y
U0144,경기,성남시,Y,연립,47.0,32125,47831,5908,25063,67.2,79.5,2026-11-07,만기일시,고정,2금융권,35.1,Y
U0145,서울,강서구,Y,아파트,60.3,21975,34138,1610,15974,64.4,69.1,2026-08-13,원리금균등,고정,2금융권,23.5,Y
U0146,경남,창원시,N,다세대,57.3,5771,9423,3042,4268,61.2,93.5,2026-10-11,원금균등,고정,은행,13.2,Y
U0147,경남,김해시,N,연립,46.5,3347,5022,403,2578,66.6,74.7,2026-10-12,원금균등,변동,은행,6.7,Y
U0148,서울,노원구,Y,다세대,71.0,13793,18730,1015,10314,73.6,79.1,2026-11-21,원금균등,변동,은행,5.4,N
U0149,경기,고양시,Y,아파트,89.9,73314,126886,27269,55182,57.8,79.3,2026-10-14,만기일시,고정,은행,26.3,Y
U0150,제주,제주시,N,다세대,51.8,6433,10347,2911,4457,62.2,90.3,2026-12-07,만기일시,변동,은행,5.8,Y
U0151,전북,익산시,N,아파트,124.3,6913,12918,2056,4912,53.5,69.4,2026-08-20,원금균등,변동,은행,13.8,Y
U0152,전북,전주시,N,연립,37.9,9962,17138,1322,7523,58.1,65.8,2026-10-20,원금균등,변동,은행,10.5,Y
U0153,경기,안양시,Y,아파트,55.7,31476,49600,2708,20963,63.5,68.9,2026-12-27,만기일시,변동,은행,36.6,Y
U0154,경기,평택시,Y,오피스텔,15.5,14766,26303,7143,10611,56.1,83.3,2026-11-16,원금균등,고정,은행,9.4,Y
U0155,서울,동작구,Y,다세대,80.7,26345,45668,8876,20508,57.7,77.1,2026-08-14,원금균등,혼합,은행,11.3,Y
U0156,경기,안양시,Y,아파트,95.8,84684,107469,746,56585,78.8,79.5,2026-12-09,원리금균등,변동,은행,93.1,Y
U0157,강원,춘천시,N,아파트,71.5,8613,13824,3437,6381,62.3,87.2,2026-10-28,원금균등,혼합,은행,13.1,Y
U0158,부산,수영구,N,연립,94.7,4527,7132,210,3575,63.5,66.4,2026-09-03,원리금균등,혼합,은행,16.8,Y
U0159,전북,익산시,N,연립,67.2,8538,11484,2169,6580,74.3,93.2,2026-10-08,원금균등,고정,은행,8.8,Y
U0160,경기,화성시,Y,아파트,51.3,69495,95991,12712,47913,72.4,85.6,2026-09-06,만기일시,혼합,2금융권,27.4,Y
U0161,서울,관악구,Y,아파트,33.9,19035,20225,1537,13573,94.1,101.7,2026-11-11,원금균등,변동,2금융권,6.3,Y
U0162,대전,중구,N,오피스텔,23.2,16839,19026,4435,11472,88.5,111.8,2026-09-24,원금균등,고정,은행,6.8,Y
U0163,인천,미추홀구,Y,단독,54.6,22483,30705,962,15146,73.2,76.4,2026-12-12,원금균등,혼합,2금융권,3.0,Y
U0164,세종,조치원읍,N,아파트,37.4,16279,24828,4716,11778,65.6,84.6,2026-11-23,원금균등,고정,은행,26.7,Y
U0165,경기,남양주시,Y,오피스텔,51.7,9886,16122,4321,6654,61.3,88.1,2026-10-19,만기일시,고정,은행,6.3,Y
U0166,서울,동작구,Y,다세대,19.0,32552,52324,17002,25222,62.2,94.7,2026-12-17,원리금균등,고정,은행,53.3,Y
U0167,광주,광산구,N,다세대,50.0,4558,7260,910,3276,62.8,75.3,2026-08-02,원리금균등,혼합,은행,4.8,Y
U0168,서울,서초구,Y,아파트,118.8,84239,106645,35894,60410,79.0,112.6,2026-07-15,원금균등,변동,은행,31.8,N
U0169,대전,유성구,N,아파트,66.6,13624,20895,1590,9013,65.2,72.8,2026-11-07,원리금균등,변동,2금융권,3.9,Y
U0170,대구,달서구,N,다세대,83.4,20609,32744,7245,13563,62.9,85.1,2026-09-26,만기일시,변동,은행,18.2,Y
U0171,경기,파주시,Y,아파트,95.6,50053,80306,5512,37159,62.3,69.2,2026-09-08,원리금균등,고정,2금융권,58.8,Y
U0172,충북,청주시,N,오피스텔,24.7,15865,18762,4784,10516,84.6,110.1,2026-09-07,만기일시,혼합,2금융권,4.6,Y
U0173,부산,수영구,N,다세대,69.1,3348,4000,398,2573,83.7,93.7,2026-07-20,원금균등,변동,은행,8.4,Y
U0174,대구,달서구,N,아파트,141.3,13433,22240,309,10590,60.4,61.8,2026-11-09,원금균등,혼합,은행,11.9,Y
U0175,전북,전주시,N,아파트,97.2,10816,14229,3015,7759,76.0,97.2,2026-12-21,원리금균등,변동,은행,14.8,Y
U0176,광주,서구,N,오피스텔,20.7,3075,4062,1383,2442,75.7,109.7,2026-12-17,만기일시,고정,2금융권,11.2,Y
U0177,광주,서구,N,연립,28.6,6269,6754,1807,4089,92.8,119.6,2026-10-20,원리금균등,혼합,2금융권,21.3,Y
U0178,인천,미추홀구,Y,다세대,58.4,31149,53541,9757,22357,58.2,76.4,2026-07-17,원리금균등,변동,은행,65.1,Y
U0179,경기,성남시,Y,아파트,98.6,81758,123818,17034,57110,66.0,79.8,2026-10-31,만기일시,혼합,2금융권,12.4,Y
U0180,인천,연수구,Y,다세대,21.4,9297,12411,3785,7246,74.9,105.4,2026-08-13,원리금균등,혼합,은행,16.7,Y
U0181,서울,광진구,Y,연립,52.0,22638,23896,7378,15659,94.7,125.6,2026-08-29,원리금균등,고정,은행,20.0,Y
U0182,충남,천안시,N,오피스텔,48.5,9524,10290,2768,6652,92.6,119.5,2026-07-24,원금균등,혼합,은행,11.2,Y
U0183,울산,북구,N,다세대,42.4,12745,24162,2992,8532,52.7,65.1,2026-11-17,만기일시,변동,은행,48.8,Y
U0184,경기,용인시,Y,아파트,55.5,33967,58480,6299,24660,58.1,68.9,2026-07-08,원리금균등,변동,은행,12.4,Y
U0185,경북,포항시,N,오피스텔,27.8,16637,21931,4113,11334,75.9,94.6,2026-10-05,원리금균등,혼합,은행,13.0,Y
U0186,세종,나성동,N,단독,41.3,12739,15271,2000,8352,83.4,96.5,2026-07-30,원금균등,변동,2금융권,11.6,Y
U0187,서울,구로구,Y,아파트,128.0,80006,106672,33198,53241,75.0,106.1,2026-09-24,원리금균등,변동,은행,80.3,Y
U0188,울산,남구,N,오피스텔,51.0,13695,16374,1784,10735,83.6,94.5,2026-07-19,원리금균등,고정,2금융권,24.1,Y
U0189,인천,연수구,Y,다세대,25.2,28873,47462,1616,20112,60.8,64.2,2026-11-03,원금균등,고정,은행,16.6,Y
U0190,전북,전주시,N,연립,49.2,16428,18743,3648,10853,87.6,107.1,2026-11-02,원금균등,변동,은행,11.8,Y
U0191,전북,익산시,N,아파트,99.8,8845,10021,1562,6158,88.3,103.9,2026-12-07,원리금균등,변동,은행,15.4,Y
U0192,세종,나성동,N,다세대,88.3,8439,15628,2378,6729,54.0,69.2,2026-07-29,만기일시,고정,2금융권,13.2,Y
U0193,서울,용산구,Y,다세대,54.6,9835,13542,4382,7632,72.6,105.0,2026-12-25,원리금균등,고정,은행,11.8,Y
U0194,충북,충주시,N,다세대,52.7,9428,11388,2410,6946,82.8,104.0,2026-09-05,만기일시,변동,은행,15.4,Y
U0195,경기,남양주시,Y,오피스텔,17.6,23644,40866,4470,15556,57.9,68.8,2026-07-09,원금균등,변동,2금융권,8.7,Y
U0196,전남,여수시,N,단독,66.1,8093,9065,1604,6294,89.3,107.0,2026-08-09,만기일시,고정,2금융권,16.2,Y
U0197,제주,제주시,N,오피스텔,48.6,10552,14516,3357,8008,72.7,95.8,2026-12-01,만기일시,혼합,은행,16.0,Y
U0198,서울,송파구,Y,아파트,109.0,87017,141876,2037,68540,61.3,62.8,2026-10-25,만기일시,혼합,2금융권,28.9,Y
U0199,서울,노원구,Y,아파트,44.6,46783,57847,5736,31764,80.9,90.8,2026-07-30,원리금균등,혼합,은행,24.4,Y
U0200,인천,서구,Y,연립,94.6,27850,45629,10661,21320,61.0,84.4,2026-07-25,원금균등,혼합,은행,13.4,Y
U0201,서울,강남구,Y,아파트,97.0,31547,45081,14145,21210,70.0,101.4,2026-07-16,만기일시,고정,은행,57.0,Y
U0202,대구,북구,N,아파트,66.9,3576,6785,1537,2520,52.7,75.4,2026-10-02,원리금균등,혼합,2금융권,2.7,Y
